Unnamed,Kecamatan,Desa,Balita,Anak-Anak,Remaja Awal,Remaja Akhir,Dewasa Awal,Dewasa Akhir,Lansia Awal,Lansia Akhir,Manula Atas,Jumlah KK, Laki-Laki, Perempuan
0, GALIS,Paka'an dajah,167,198,442,220,402,381,296,234,191,679,1237,1294
0, GALIS,Paka'an laok,207,308,665,391,665,520,336,315,295,870,1818,1884
0, GALIS,Paterongan,226,417,881,540,876,755,569,398,284,1310,2405,2541
0, GALIS,Pakadan,283,297,683,435,837,701,511,387,398,1184,2256,2276
0, GALIS,Sadah,154,320,588,366,646,651,426,344,226,1054,1839,1882
0, GALIS,Separah,135,211,442,228,474,437,307,212,246,638,1322,1370
0, GALIS,Sorpa,62,106,212,137,266,209,159,116,128,362,685,710
0, GALIS,Telagah,290,466,1046,634,1106,789,608,442,255,1557,2853,2783
0, GALIS,Tellok,237,330,645,418,809,537,474,383,294,1269,2013,2114
0, TANAH MERAH,Tanah Merah Dajah,289,387,770,411,774,797,574,372,295,1296,2337,2332
0, TANAH MERAH,Tanah Merah Laok,406,588,1135,608,1202,996,769,481,420,1770,3252,3353
0, TANAH MERAH,Petrah,192,276,553,280,558,580,388,311,250,982,1642,1746
0, TANAH MERAH,Jangkar,239,406,877,498,947,949,659,503,348,1500,2695,2731
0, TANAH MERAH,Pettong,185,232,462,289,538,464,420,240,181,801,1492,1519
0, TANAH MERAH,Kendaban,73,100,187,91,188,230,150,104,69,346,569,623
0, TANAH MERAH,Dumajah,309,453,866,441,852,695,513,397,358,1344,2361,2523
0, TANAH MERAH,Pacentan,255,370,730,383,719,629,400,321,359,1079,2062,2104
0, TANAH MERAH,Baipajung,262,453,1045,482,944,811,653,465,418,1469,2696,2837
0, TANAH MERAH,Tlamor,102,180,406,232,472,416,304,273,230,640,1305,1310
0, TANAH MERAH,Rongdurin,119,138,285,204,322,300,268,173,164,595,952,1021
0, TANAH MERAH,Landak,87,165,324,171,344,298,204,163,106,528,956,906
0, TANAH MERAH,Basanai,59,61,134,69,148,130,94,59,51,227,411,394
0, TANAH MERAH,Poter,198,261,565,272,590,484,371,232,165,883,1528,1610
0, TANAH MERAH,Patemon,50,76,157,67,156,142,99,60,47,247,437,417
0, TANAH MERAH,Dlambah Dajah,218,341,794,449,813,494,431,390,292,1112,2075,2147
0, TANAH MERAH,Dlambah Laok,82,148,322,160,292,291,236,168,102,490,910,891
0, TANAH MERAH,Mrecah,149,209,439,258,537,426,295,246,161,741,1329,1391
0, TANAH MERAH,Buddan,192,270,571,317,665,443,361,260,227,937,1634,1672
0, TANAH MERAH,Batangan,296,456,957,579,981,715,592,345,322,1371,2569,2674
0, TANAH MERAH,Padurungan,125,147,282,175,337,277,225,135,121,479,910,914
0, TANAH MERAH,Pangeleyan,50,70,110,57,108,116,64,49,29,181,315,338
0, TANAH MERAH,Kranggan Barat,136,185,401,200,477,478,300,229,163,660,1272,1297
0, TRAGAH,Soket Laok,202,326,628,406,663,550,500,340,300,1118,1945,1970
0, TRAGAH,Soket Dajah,103,135,297,137,291,251,184,150,116,489,846,818
0, TRAGAH,Pamorah,176,269,488,255,564,448,341,256,203,828,1515,1485
0, TRAGAH,Banyu Besih,141,178,381,204,355,293,228,149,133,567,1044,1018
0, TRAGAH,Pocong,55,92,158,82,150,162,102,85,61,273,449,498
0, TRAGAH,Tragah,45,75,161,84,185,124,106,81,57,267,467,451
0, TRAGAH,Karang Leman,72,102,190,85,200,174,118,107,68,329,553,563
0, TRAGAH,Duko Tambin,27,44,61,36,81,60,41,21,32,127,200,203
0, TRAGAH,Keteleng,73,111,232,115,216,195,166,96,117,388,663,658
0, TRAGAH,Alang-alang,163,217,415,241,489,398,300,255,198,840,1279,1397
0, TRAGAH,Kemoneng,104,178,345,159,355,270,261,211,147,560,968,1062
0, TRAGAH,Tambin,100,178,378,195,405,307,265,199,190,692,1076,1141
0, TRAGAH,Bajeman,247,237,623,318,584,502,394,387,373,1031,1762,1903
0, TRAGAH,Jaddung,83,87,177,102,175,155,97,59,57,292,493,499
0, TRAGAH,Pacangan,58,73,127,74,150,125,90,64,72,266,404,429
0, TRAGAH,Bancang,56,60,132,85,142,146,89,73,84,252,428,439
0, TRAGAH,Jaah,85,104,216,106,223,182,138,113,116,373,638,645
0, TRAGAH,Masaran,101,130,233,108,271,203,150,94,112,422,692,710
0, SOCAH,Socah,362,507,1015,511,839,989,931,674,441,1915,3117,3152
0, SOCAH,Keleyan,577,751,1287,676,1314,1313,1141,986,582,2535,4223,4404
0, SOCAH,Bilaporah,397,536,1040,561,929,937,930,702,489,1959,3207,3314
0, SOCAH,Parseh,532,780,1536,787,1502,1306,994,664,522,2421,4310,4313
0, SOCAH,Jaddih,648,1051,1136,948,1996,1908,1593,1255,952,3539,6054,6351
0, SOCAH,Buluh,271,372,768,356,669,747,668,523,383,1401,2315,2442
0, SOCAH,Junganyar,218,299,573,315,561,537,432,285,135,983,1681,1674
0, SOCAH,Dakiring,201,275,498,239,443,438,386,297,145,826,1449,1473
0, SOCAH,Petaonan,260,304,548,273,576,641,547,359,255,1063,1817,1946
0, SOCAH,Pernajuh,91,95,165,98,167,187,135,107,61,337,549,557
0, SOCAH,Sanggra Agung,338,518,1181,577,1084,1002,731,542,443,1745,3176,3240
0, BANGKALAN,Mlajah,934,1108,1919,807,1643,1892,1274,847,339,3023,5265,5498
0, BANGKALAN,Kemayoran,524,706,1255,586,1076,1144,893,613,372,2084,3511,3658
0, BANGKALAN,Pangeranan,752,924,1766,876,1725,1581,1362,1055,584,321,5218,5407
0, BANGKALAN,Demangan,528,643,1128,516,1106,1130,878,699,474,218,3508,3594
0, BANGKALAN,Kraton,609,794,1518,718,1366,1509,1164,891,501,274,4379,4691
0, BANGKALAN,Pejagan,1333,165,3210,1478,2985,2918,2229,1680,1033,5564,9193,9323
0, BANGKALAN,Bancaran,829,1018,1850,998,1866,1760,1452,991,545,332,5652,5657
0, BANGKALAN,Sembilangan,85,103,189,113,191,159,157,123,85,374,579,626
0, BANGKALAN,Ujung Piring,154,184,295,135,315,269,190,172,100,547,919,895
0, BANGKALAN,Keramat,199,287,460,274,427,382,334,280,164,800,1382,1425
0, BANGKALAN,Martajasah,133,190,228,118,311,268,188,169,66,515,833,838
0, BANGKALAN,Sabiyan,235,256,412,229,486,444,350,242,159,832,1394,1419
0, BANGKALAN,Gebang,254,270,540,250,510,491,385,286,139,926,1567,1558
